epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,9750.5,0.67503,0.34035,0.9299,0.98552,0.97228,0.99314,0.84191,0.61789,0.26577,0.91097,0.008218,0.008218,0.008218
56,9928.96,0.67821,0.34261,0.93263,0.98587,0.97209,0.99317,0.84094,0.61896,0.2659,0.91135,0.008185,0.008185,0.008185
57,10105.8,0.6771,0.34069,0.93235,0.986,0.97177,0.99319,0.84122,0.61901,0.2658,0.91142,0.008152,0.008152,0.008152
58,10280.4,0.678,0.34177,0.93362,0.9865,0.97191,0.99321,0.84151,0.61885,0.26582,0.91127,0.008119,0.008119,0.008119
59,10458.3,0.67701,0.34124,0.93233,0.98636,0.97185,0.99317,0.84126,0.61875,0.26586,0.9112,0.008086,0.008086,0.008086
60,10635.1,0.67566,0.34021,0.93116,0.98636,0.9717,0.99315,0.84117,0.61897,0.26608,0.91125,0.008053,0.008053,0.008053
61,10812.3,0.67524,0.34257,0.93035,0.98587,0.97203,0.99311,0.8411,0.61906,0.26579,0.91126,0.00802,0.00802,0.00802
62,10989.7,0.67404,0.34,0.93192,0.98587,0.97221,0.99309,0.84111,0.61926,0.2656,0.91139,0.007987,0.007987,0.007987
63,11167.4,0.66912,0.33766,0.92804,0.98536,0.97248,0.99312,0.84158,0.6191,0.26563,0.91127,0.007954,0.007954,0.007954
64,11330.8,0.67369,0.34059,0.93115,0.9853,0.97269,0.99316,0.84161,0.61897,0.2656,0.91125,0.007921,0.007921,0.007921
65,11510.2,0.67359,0.33964,0.9298,0.98544,0.97248,0.99315,0.84127,0.6186,0.26535,0.91105,0.007888,0.007888,0.007888
66,11688.6,0.6724,0.33864,0.92854,0.98543,0.97262,0.99318,0.84163,0.61821,0.26516,0.91086,0.007855,0.007855,0.007855
67,11863.3,0.67139,0.33673,0.92835,0.98543,0.97262,0.99321,0.84165,0.6175,0.2647,0.91063,0.007822,0.007822,0.007822
68,12040.9,0.67083,0.33916,0.92883,0.98535,0.97255,0.99324,0.84174,0.61767,0.26492,0.91065,0.007789,0.007789,0.007789
69,12216.1,0.67148,0.33752,0.92826,0.98561,0.97255,0.99326,0.84201,0.61746,0.2646,0.91057,0.007756,0.007756,0.007756
70,12389.5,0.67138,0.33668,0.93024,0.98552,0.97237,0.99326,0.84171,0.61727,0.26447,0.91044,0.007723,0.007723,0.007723
71,12567.9,0.66873,0.33529,0.92861,0.98468,0.97291,0.99327,0.84216,0.61715,0.2644,0.91034,0.00769,0.00769,0.00769
72,12742,0.67016,0.3371,0.92697,0.98472,0.97284,0.9933,0.84213,0.61687,0.26397,0.91025,0.007657,0.007657,0.007657
73,12917.7,0.66996,0.33776,0.92833,0.98464,0.97284,0.99328,0.8421,0.61702,0.2639,0.91034,0.007624,0.007624,0.007624
74,13093.2,0.66736,0.33371,0.92847,0.98542,0.97248,0.99326,0.84254,0.617,0.26368,0.91024,0.007591,0.007591,0.007591
75,13267.6,0.67365,0.33846,0.92869,0.98316,0.97495,0.99327,0.84274,0.61709,0.26366,0.91033,0.007558,0.007558,0.007558
76,13442.6,0.66621,0.33435,0.9271,0.98331,0.97502,0.99329,0.84249,0.61729,0.2639,0.91039,0.007525,0.007525,0.007525
77,13615.9,0.66728,0.33743,0.9273,0.98325,0.97524,0.9933,0.84214,0.61717,0.26375,0.91032,0.007492,0.007492,0.007492
78,13788.5,0.66606,0.33529,0.92922,0.98325,0.97524,0.99329,0.84262,0.61661,0.26397,0.9101,0.007459,0.007459,0.007459
79,13958.5,0.66628,0.33317,0.92815,0.98399,0.97421,0.99329,0.84367,0.61628,0.26361,0.90997,0.007426,0.007426,0.007426
80,14127.2,0.66474,0.33083,0.92749,0.9841,0.97418,0.99328,0.84322,0.6165,0.26369,0.91007,0.007393,0.007393,0.007393
81,14295.9,0.66453,0.33169,0.92549,0.98379,0.97443,0.99328,0.84337,0.61607,0.26337,0.90991,0.00736,0.00736,0.00736
82,14464.9,0.66347,0.33308,0.92463,0.98372,0.97479,0.99327,0.84404,0.61633,0.26321,0.91005,0.007327,0.007327,0.007327
83,14633.6,0.66701,0.33456,0.92765,0.9837,0.97475,0.99326,0.8439,0.61592,0.26313,0.90986,0.007294,0.007294,0.007294
84,14802.8,0.6649,0.33358,0.92602,0.98379,0.97472,0.99324,0.84423,0.6155,0.2631,0.90975,0.007261,0.007261,0.007261
85,14971.9,0.66221,0.33077,0.92667,0.98379,0.97471,0.99323,0.84402,0.61577,0.26314,0.90988,0.007228,0.007228,0.007228
86,15138,0.665,0.33428,0.92785,0.98381,0.97475,0.99326,0.84408,0.61562,0.26309,0.90987,0.007195,0.007195,0.007195
87,15320.1,0.66369,0.33129,0.92443,0.9844,0.97404,0.99321,0.84457,0.61555,0.26295,0.90987,0.007162,0.007162,0.007162
88,15491.9,0.66051,0.33008,0.92497,0.98421,0.97444,0.99322,0.8449,0.61527,0.26271,0.90984,0.007129,0.007129,0.007129
89,15670.2,0.6598,0.3288,0.92496,0.98428,0.97422,0.99323,0.84511,0.6151,0.26275,0.90981,0.007096,0.007096,0.007096
90,15848.1,0.66389,0.33142,0.92251,0.98445,0.97411,0.99322,0.84514,0.61492,0.26273,0.90974,0.007063,0.007063,0.007063
91,16026.3,0.66135,0.33014,0.92433,0.98581,0.9732,0.99323,0.84519,0.61475,0.26254,0.90966,0.00703,0.00703,0.00703
92,16204.3,0.66021,0.3302,0.92585,0.98588,0.97294,0.99321,0.84538,0.61466,0.26245,0.90954,0.006997,0.006997,0.006997
93,16381.1,0.65871,0.32742,0.92476,0.98414,0.97397,0.9932,0.84568,0.61382,0.26249,0.90932,0.006964,0.006964,0.006964
94,16557.5,0.65743,0.32729,0.9237,0.9842,0.97395,0.99321,0.84607,0.6136,0.26254,0.90923,0.006931,0.006931,0.006931
95,16721.7,0.65854,0.32824,0.9223,0.9842,0.97395,0.99321,0.84603,0.61323,0.26259,0.90909,0.006898,0.006898,0.006898
96,16895,0.65861,0.32911,0.92526,0.98427,0.97394,0.99323,0.84611,0.61293,0.2626,0.90899,0.006865,0.006865,0.006865
97,17070.6,0.65688,0.32656,0.92284,0.98428,0.97417,0.99323,0.84654,0.61227,0.2623,0.90875,0.006832,0.006832,0.006832
98,17247.2,0.65747,0.3296,0.92362,0.98449,0.9741,0.99321,0.84679,0.61211,0.26221,0.90863,0.006799,0.006799,0.006799
99,17424.5,0.6563,0.32829,0.92262,0.98466,0.97411,0.99323,0.84688,0.612,0.26191,0.90865,0.006766,0.006766,0.006766
100,17601,0.65826,0.32747,0.92316,0.98493,0.97397,0.99322,0.8473,0.61151,0.26185,0.90852,0.006733,0.006733,0.006733
101,17777.8,0.65687,0.32738,0.92355,0.985,0.97404,0.99324,0.84715,0.61145,0.26186,0.90847,0.0067,0.0067,0.0067
102,17954.6,0.65419,0.32456,0.92267,0.985,0.97397,0.99326,0.84739,0.61093,0.26159,0.90829,0.006667,0.006667,0.006667
103,18130.9,0.65716,0.32845,0.92483,0.98533,0.97372,0.99326,0.84815,0.61084,0.26147,0.90828,0.006634,0.006634,0.006634
104,18307,0.65999,0.32939,0.92605,0.98658,0.97278,0.99327,0.84757,0.61049,0.26136,0.90809,0.006601,0.006601,0.006601
105,18483.9,0.65787,0.32687,0.92307,0.98655,0.97284,0.99327,0.84796,0.60993,0.26124,0.90788,0.006568,0.006568,0.006568
106,18659.8,0.65412,0.3245,0.92224,0.98665,0.97284,0.99328,0.84806,0.61006,0.26098,0.90789,0.006535,0.006535,0.006535
107,18835.7,0.65573,0.32502,0.92198,0.98665,0.97276,0.99329,0.84825,0.61018,0.26087,0.90794,0.006502,0.006502,0.006502
108,19012.1,0.65547,0.3265,0.92328,0.98637,0.97277,0.99332,0.84857,0.60972,0.2606,0.90781,0.006469,0.006469,0.006469
109,19187.8,0.65402,0.32442,0.92244,0.98623,0.97272,0.9933,0.8483,0.60961,0.26046,0.90778,0.006436,0.006436,0.006436
110,19363,0.65411,0.32452,0.92097,0.98579,0.97312,0.99328,0.8486,0.6096,0.26029,0.90778,0.006403,0.006403,0.006403
111,19539,0.65503,0.3244,0.92256,0.98588,0.97306,0.99329,0.84875,0.60906,0.26005,0.90758,0.00637,0.00637,0.00637
112,19714.5,0.65353,0.32484,0.92191,0.98566,0.97305,0.99331,0.84917,0.60859,0.25976,0.90742,0.006337,0.006337,0.006337
113,19889.9,0.65461,0.32521,0.92109,0.98523,0.97361,0.9933,0.84884,0.60867,0.25984,0.90738,0.006304,0.006304,0.006304
114,20065.1,0.64893,0.3223,0.91822,0.98543,0.97354,0.99329,0.84932,0.60876,0.25977,0.90739,0.006271,0.006271,0.006271
115,20241.5,0.65116,0.32552,0.92016,0.98543,0.97354,0.99329,0.84901,0.60871,0.25944,0.90732,0.006238,0.006238,0.006238
116,20417.3,0.64701,0.32159,0.91952,0.98544,0.97354,0.99331,0.84926,0.60845,0.25911,0.9072,0.006205,0.006205,0.006205
117,20593.6,0.65046,0.32308,0.91987,0.98562,0.97361,0.99332,0.84915,0.60859,0.2592,0.90727,0.006172,0.006172,0.006172
118,20769.3,0.65005,0.32273,0.91938,0.98575,0.97365,0.99324,0.84934,0.60865,0.25926,0.9072,0.006139,0.006139,0.006139
119,20945.4,0.65091,0.32245,0.91946,0.98589,0.97363,0.9933,0.84952,0.60847,0.25908,0.90716,0.006106,0.006106,0.006106
120,21122.4,0.64832,0.32132,0.92043,0.98603,0.97358,0.99329,0.84974,0.60835,0.25898,0.90707,0.006073,0.006073,0.006073
121,21298,0.64984,0.32107,0.91913,0.98582,0.97394,0.9933,0.84944,0.6082,0.25874,0.90698,0.00604,0.00604,0.00604
122,21473.6,0.64747,0.32031,0.9196,0.9855,0.97404,0.99329,0.84941,0.60803,0.2584,0.9069,0.006007,0.006007,0.006007
123,21649.2,0.64789,0.31905,0.91969,0.98564,0.97397,0.99328,0.84956,0.60785,0.2583,0.9068,0.005974,0.005974,0.005974
124,21825.1,0.64835,0.31963,0.91902,0.98585,0.9739,0.99328,0.84996,0.60744,0.25839,0.90663,0.005941,0.005941,0.005941
125,22001.3,0.64827,0.31966,0.91838,0.98575,0.97401,0.9933,0.84983,0.60747,0.25815,0.90667,0.005908,0.005908,0.005908
126,22177.3,0.64743,0.32013,0.91791,0.98522,0.97432,0.99327,0.85014,0.60704,0.25806,0.90653,0.005875,0.005875,0.005875
